edge2,edge1,id,Year
42739,56719,56719,2007
56127,56719,56719,2007
36588,56719,56719,2007
53131,56719,56719,2007
53493,56725,56725,2007
53610,56725,56725,2007
53232,56725,56725,2007
53436,56725,56725,2007
53374,56725,56725,2007
60776,56725,56725,2007
42738,56725,56725,2007
56022,56725,56725,2007
21449,56725,56725,2007
42568,56737,56737,2007
59192,56737,56737,2007
36644,56737,56737,2007
42739,56737,56737,2007
56161,56737,56737,2007
53693,56856,56856,2006
35887,56873,56873,2006
18956,56873,56873,2006
56934,56873,56873,2006
60882,56873,56873,2006
53186,56873,56873,2006
53735,56873,56873,2006
53708,56873,56873,2006
16096,56873,56873,2006
56133,56873,56873,2006
14123,56873,56873,2006
62340,56873,56873,2006
53511,56928,56928,2005
56223,56928,56928,2005
53510,56928,56928,2005
22831,56928,56928,2005
53493,56934,56934,2005
53735,56934,56934,2005
42817,56934,56934,2005
56121,56934,56934,2005
16117,56934,56934,2005
23741,56934,56934,2005
56133,56934,56934,2005
16298,56934,56934,2005
14044,56934,56934,2005
56120,56934,56934,2005
53326,56993,56993,2003
53769,56993,56993,2003
67831,56993,56993,2003
55603,57325,57325,2011
42412,57325,57325,2011
55616,57325,57325,2011
2280,57325,57325,2011
61836,57325,57325,2011
56181,57325,57325,2011
62226,57325,57325,2011
41318,57483,57483,2018
2716,57483,57483,2018
51670,57483,57483,2018
4178,57483,57483,2018
53760,57483,57483,2018
33847,57483,57483,2018
3441,57483,57483,2018
2319,57483,57483,2018
52581,57483,57483,2018
52767,57483,57483,2018
44801,57483,57483,2018
55538,57483,57483,2018
2317,57483,57483,2018
55651,57483,57483,2018
53965,57483,57483,2018
1441,57512,57512,2017
43936,57512,57512,2017
52839,57512,57512,2017
3174,57512,57512,2017
55753,57512,57512,2017
55540,57512,57512,2017
44533,57512,57512,2017
2728,57512,57512,2017
53871,57512,57512,2017
3255,57767,57767,2013
57793,57767,57767,2013
55759,57767,57767,2013
53236,57767,57767,2013
3509,57767,57767,2013
2663,57767,57767,2013
52231,57767,57767,2013
52049,57767,57767,2013
55451,57767,57767,2013
23560,57767,57767,2013
3255,57793,57793,2013
55587,57793,57793,2013
53236,57793,57793,2013
3174,57793,57793,2013
45149,57793,57793,2013
44992,57800,57800,2013
3635,57800,57800,2013
53088,57800,57800,2013
3174,57800,57800,2013
45149,57800,57800,2013
44533,57800,57800,2013
43870,57800,57800,2013
52289,57800,57800,2013
4095,57800,57800,2013
55540,57800,57800,2013
3742,57800,57800,2013
53635,57800,57800,2013
3255,57898,57898,2015
52839,57898,57898,2015
